"loc_id","latitude","longitude","Prov","region","BlockCode","bcr"
"L34305",43.04226,-79.309244,"ON","ON","17TPH",13
"L18802",43.2980667,-80.2904034,"ON","ON","17TNH",13
"L79343",45.1750934,-75.8285169,"ON","ON","18TVR",13
"L29298",42.88333,-82.433333,"ON","ON","17TLH",13
"L104707",43.3327872,-79.789744,"ON","ON","17TNH",13
"L35587",43.433,-80.501,"ON","ON","17TNJ",13
"L30901",45.0818241,-75.7004356,"ON","ON","18TVQ",13
"L41287",42.83333,-80.3,"ON","ON","17TNH",13
"L363865",49.84783,-99.98145,"MB","PR","14UMA",11
"L41182",43.635,-79.494,"ON","ON","17TPJ",13
"L34048",42.968,-81.316,"ON","ON","17TMH",13
"L20563",45.65,-79.85,"ON","ON","17TNL",12
"L20356",43.898,-79.406,"ON","ON","17TPJ",13
"L20357",42.65,-82,"ON","ON","17TMH",13
"L20665",50.33333,-102.25,"SK","PR","13UFR",11
"L20666",42.414,-82.191,"ON","ON","17TMG",13
"L20668",43.226,-79.987,"ON","ON","17TNH",13
"L20669",43.674,-79.406,"ON","ON","17TPJ",13
"L20670",43.203,-79.926,"ON","ON","17TNH",13
"L20671",49.08333,-117.8,"BC","BC","11UMQ",10
"L20359",44.283,-78.325,"ON","ON","17TQK",13
"L20360",46.25,-83.883333,"ON","ON","17TKM",12
"L20361",44.1,-77.583333,"ON","ON","18TTP",13
"L20674",48.289,-89.288,"ON","ON","16TCU",12
"L20675",43.53333,-80.55,"ON","ON","17TNJ",13
"L20362",45.13333,-76.15,"ON","ON","18TVQ",13
"L20364",44.283,-78.325,"ON","ON","17TQK",13
"L20378",51.05,-114.08333,"AB","PR","11UQS",11
"L20379",49.849,-97.287,"MB","PR","14UPA",11
"L20380",42.975,-82.385,"ON","ON","17TLH",13
"L20381",49.228,-123.185,"BC","BC","10UDV",5
"L20691",49.297,-122.845,"BC","BC","10UEV",5
"L20692",43.226,-79.987,"ON","ON","17TNH",13
"L20383",48.76667,-80.683333,"ON","ON","17UNQ",8
"L20693",49.78333,-93.2,"ON","ON","15UVR",12
"L20694",42.966,-81.269,"ON","ON","17TMH",13
"L20384",51.05,-114.08333,"AB","PR","11UQS",11
"L20695",44.23308,-76.501794,"ON","ON","18TUP",13
"L20385",44.43333,-78.266667,"ON","ON","17TQK",13
"L20386",49.08333,-117.8,"BC","BC","11UMQ",10
"L20387",51.191,-114.467,"AB","PR","11UPS",11
"L20696",42.7,-81.083333,"ON","ON","17TMH",13
"L20388",45.22432,-77.941103,"ON","ON","18TTR",12
"L20389",50.97,-114.089,"AB","PR","11UQS",11
"L20390",48.53333,-80.466667,"ON","ON","17TNP",8
"L20391",43.346,-79.847,"ON","ON","17TNH",13
"L20697",60.71838,-135.063,"YT","North","08VMN",4
"L20750",46.23333,-76.016667,"QC","QC","18TVS",12
"L20751",55.31667,-123.08333,"BC","BC","10UDG",10
"L20837",45.23333,-76.2,"ON","ON","18TVR",13
"L20495",49.08333,-55.25,"NL","AT","21UXQ",8
"L20838",43.348,-79.78,"ON","ON","17TNJ",13
"L20496",45.5978,-75.6169,"QC","QC","18TVR",12
"L20497",45.15,-75.65,"ON","ON","18TVQ",13
"L20854",46.31667,-78.7,"ON","ON","17TPM",12
"L20498",43.795,-79.267,"ON","ON","17TPJ",13
"L20880",48.75,-91.616667,"ON","ON","15UXQ",12
"L20519",43.601,-79.593,"ON","ON","17TPJ",13
"L20881",45.964,-66.685,"NB","AT","19TFL",14
"L20882",48.406,-89.248,"ON","ON","16TCU",12
"L20548",49.341,-123.263,"BC","BC","10UDV",5
"L20936",42.38333,-81.85,"ON","ON","17TMG",13
"L20996",45.476,-73.614,"QC","QC","18TXR",13
"L20634",48.38333,-123.71667,"BC","BC","10TDU",5
"L21000",43.671,-79.753,"ON","ON","17TPJ",13
"L20635",43.865,-79.434,"ON","ON","17TPJ",13
"L21001",48.406,-89.248,"ON","ON","16TCU",12
"L21002",44.3,-77.55,"ON","ON","18TTQ",13
"L20650",50.993,-114.04,"AB","PR","11UQS",11
"L21016",53.7092,-114.19374,"AB","PR","11UPV",6
"L21017",48.66667,-86.283333,"ON","ON","16TEU",8
"L20651",43.475,-79.707,"ON","ON","17TPJ",13
"L21018",44,-78.016667,"ON","ON","17TQJ",13
"L21019",51.1836,-115.5646,"AB","PR","11UPS",10
"L21020",60.31561,-134.27124,"YT","North","08VNM",4
"L21021",43.932,-80.107,"ON","ON","17TNJ",13
"L20652",45.5978,-75.6169,"QC","QC","18TVR",12
"L21022",48.289,-89.288,"ON","ON","16TCU",12
"L20655",44.13333,-78.35,"ON","ON","17TQJ",13
"L20732",47.033,-65.181,"NB","AT","20TLT",14
"L20733",45.78333,-74.083333,"QC","QC","18TWR",12
"L20743",44.75,-65.516667,"NS","AT","20TLQ",14
"L20761",52.13,-106.615,"SK","PR","13UCT",11
"L20873",47.517,-52.822,"NL","AT","22TCT",8
"L21742",43.96667,-78.75,"ON","ON","17TPJ",13
"L22067",43.932,-80.107,"ON","ON","17TNJ",13
"L22520",48.46667,-81.216667,"ON","ON","17TMP",8
"L22423",48.369,-89.353,"ON","ON","16TCU",12
"L23844",45.957,-66.655,"NB","AT","19TFL",14
"L23845",43.03333,-80.883333,"ON","ON","17TNH",13
"L23861",43.875,-78.932,"ON","ON","17TPJ",13
"L23863",48.78333,-123.7,"BC","BC","10UDV",5
"L23864",48.78333,-123.7,"BC","BC","10UDV",5
"L23865",43.226,-79.987,"ON","ON","17TNH",13
"L23520",47.03333,-65.5,"NB","AT","20TLT",14
"L23521",46.101,-64.788,"NB","AT","20TLS",14
"L23871",46.37,-72.626,"QC","QC","18TXS",13
"L23897",53.459,-113.141,"AB","PR","12UUE",11
"L23549",48.425,-71.023,"QC","QC","19TCP",8
"L23901",48.573,-71.635,"QC","QC","19TCP",8
"L23919",51.112,-114.091,"AB","PR","11UQS",11
"L23612",52.3091,-114.0977,"AB","PR","11UPT",6
"L24052",49.267,-122.929,"BC","BC","10UEV",5
"L24087",49.68333,-103.86667,"SK","PR","13UER",11
"L25807",43.65,-79.916667,"ON","ON","17TNJ",13
"L26274",49.818,-97.272,"MB","PR","14UPA",11
