"loc_id","latitude","longitude","Prov","region"
"L19349",52.46495,-113.7365,"AB","PR"
"L467270",45.89894,-64.36426,"NB","AT"
"L619859",49.21304,-123.0309,"BC","BC"
"L800311",48.43881,-123.4026,"BC","BC"
"L811768",49.2529,-122.7782,"BC","BC"
"L788357",45.40143,-76.59944,"ON","ON"
"L809214",51.56384,-121.0541,"BC","BC"
"L807408",48.80458,-123.6244,"BC","BC"
"L980950",44.36533,-80.24951,"ON","ON"
"L803464",43.55813,-80.0457,"ON","ON"
"L797700",42.91435,-79.61799,"ON","ON"
"L801765",46.63094,-84.29609,"ON","ON"
"L980951",45.33249,-79.23728,"ON","ON"
"L980952",42.7664,-80.58305,"ON","ON"
"L803461",45.25024,-79.80537,"ON","ON"
"L814435",43.72414,-79.76009,"ON","ON"
"L804979",43.46268,-80.53175,"ON","ON"
"L808499",49.97118,-97.0876,"MB","PR"
"L799157",43.13066,-79.19929,"ON","ON"
"L980953",49.3857,-98.58302,"MB","PR"
"L804801",43.41338,-80.54237,"ON","ON"
"L801284",43.43108,-80.45426,"ON","ON"
"L807797",45.02592,-73.93846,"QC","QC"
"L796868",43.88176,-79.23798,"ON","ON"
"L862708",43.51901,-80.24353,"ON","ON"
"L800617",49.29249,-123.1349,"BC","BC"
"L860747",42.88131,-80.04406,"ON","ON"
"L800321",51.00214,-112.132,"AB","PR"
"L802323",43.04136,-81.21409,"ON","ON"
"L802882",42.79858,-80.20788,"ON","ON"
"L802458",43.0359,-81.2281,"ON","ON"
"L805093",44.74259,-79.00801,"ON","ON"
"L807541",43.70784,-79.29468,"ON","ON"
"L980955",44.32556,-78.88527,"ON","ON"
"L980956",51.7969,-114.6325,"AB","PR"
"L980957",42.95254,-81.3362,"ON","ON"
"L796466",43.648,-80.16355,"ON","ON"
"L835453",43.14257,-80.27103,"ON","ON"
"L805280",47.5141,-52.93053,"NL","AT"
"L797668",44.46807,-79.74385,"ON","ON"
"L804821",50.88056,-119.3199,"BC","BC"
"L800902",50.67587,-120.2837,"BC","BC"
"L801943",43.30135,-81.77613,"ON","ON"
"L796545",45.31039,-75.82656,"ON","ON"
"L980958",44.26789,-79.71817,"ON","ON"
"L808797",42.97962,-81.27729,"ON","ON"
"L796446",45.42342,-75.77102,"QC","QC"
"L807803",42.25393,-83.01815,"ON","ON"
"L804980",46.01208,-64.10898,"NB","AT"
"L980959",46.49021,-64.86005,"NB","AT"
